,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Newport,GB,58.62,few clouds,51.5877,-2.9984,ibis budget Newport
258,Bushenyi,UG,61.21,light rain,-0.5853,30.2114,College View Guest House
259,Kazanskaya,RU,71.98,overcast clouds,45.4106,40.4361,Tikhiy Dvorik
261,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
266,Ahipara,NZ,58.42,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
267,Broome,US,60.1,broken clouds,42.2506,-75.833,Chenango Valley State Park
268,Saint Anthony,US,75.04,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
272,Melendugno,IT,72.05,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
273,Shelburne,CA,59.76,clear sky,44.0787,-80.2041,The Retreat at the Farm
275,Nevesinje,BA,54.46,clear sky,43.2586,18.1133,Prenoćište Nevesinje
276,Namibe,AO,63.84,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
278,Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
283,La Roche-Sur-Yon,FR,61.32,overcast clouds,46.6667,-1.4333,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)"
285,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
286,Praia Da Vitoria,PT,71.85,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
287,San Quintin,MX,71.94,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
288,Durham,US,64.58,overcast clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
293,Cintalapa,MX,76.42,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
294,Ponta Delgada,PT,76.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
295,San Jose,US,76.53,few clouds,37.3394,-121.895,The Westin San Jose
297,Bud,US,72.86,clear sky,39.447,-86.1758,Ted McQuinn Trust
298,San Francisco,US,75.06,scattered clouds,37.7749,-122.4194,Edwardian Hotel
299,Khani,GE,69.37,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
300,Mombetsu,JP,55.81,clear sky,44.3525,143.3525,Okhotsk Palace Hotel
303,Bereda,ES,62.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
304,Bengkulu,ID,74.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
307,Kuryk,KZ,64.94,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
310,Sioux Lookout,CA,64.47,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
312,Pindiga,NG,76.01,broken clouds,9.9833,10.9333,Accommodation Center
314,Gatton,AU,53.22,clear sky,-27.55,152.2833,Room Motels Gatton
315,Peniche,PT,74.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
316,Esperance,AU,53.37,broken clouds,-33.8667,121.9,Hospitality Esperance
317,Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
322,Visinesti,RO,56.55,broken clouds,45.1,25.55,Padurea Smarandei
325,Camana,PE,65.62,broken clouds,-16.6228,-72.7111,Hostal Morales
326,Kushima,JP,70.34,scattered clouds,31.4583,131.2333,Hanaoka
328,Ofunato,JP,65.44,overcast clouds,39.0717,141.7167,Ofunato Hot Spring
331,Ebolowa,CM,68.41,scattered clouds,2.9,11.15,Florence Hotel Ebolowa
332,Bhainsdehi,IN,68.61,scattered clouds,21.6467,77.6325,Prince Rathore HOME
333,Ukmerge,LT,48.67,overcast clouds,55.25,24.75,BIG STONE Hotel
335,Tullahoma,US,75.22,clear sky,35.362,-86.2094,Quality Inn
337,Grand-Lahou,CI,75.49,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
338,Eyl,SO,77.04,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
339,Butembo,CD,58.6,light rain,0.15,29.2833,Hotel Butembo
340,Sri Aman,MY,73.45,light rain,1.2376,111.4621,Seri Simanggang Hotel
342,Mikuni,JP,67.91,overcast clouds,36.2171,136.1519,Seifuso
343,Bethel,US,56.48,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
344,Barkhan,PK,75.45,clear sky,29.8977,69.5256,Sardar
348,Havre,FR,55.8,clear sky,49.5833,0.3333,gite bois jourdain
352,Gazanjyk,TM,60.46,clear sky,39.2446,55.5154,Railway motel
355,Muros,ES,67.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
357,Saumur,FR,62.83,broken clouds,47.3333,-0.25,Hôtel la Longue Vue
361,La Sarre,CA,50.04,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
362,Nemuro,JP,56.12,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
363,Ucluelet,CA,73.09,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
366,Domoni,KM,74.52,scattered clouds,-12.2569,44.5319,Al Djadid
368,Amurzet,RU,50.67,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
369,Kadoma,JP,71.6,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
371,Salon-De-Provence,FR,69.84,clear sky,43.6407,5.0954,HÔTEL SELECT - Contact Hôtels
372,Yulara,AU,64.69,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
373,North Myrtle Beach,US,76.1,overcast clouds,33.816,-78.68,Avista Resort
378,Malanje,AO,72.34,light rain,-9.5402,16.341,Hotel Ginga
383,Serravalle Pistoiese,IT,67.12,broken clouds,43.9061,10.8327,Hotel Santa Barbara
384,Phan Thiet,VN,77.14,light rain,10.9333,108.1,Hotel Saigon-PT
385,Alice Springs,AU,67.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
386,Barcelos,PT,74.91,broken clouds,41.5388,-8.6151,Hotel Do Terço
387,Baltasi,RU,56.75,overcast clouds,56.3462,50.2062,Baza Otdykha Kara-Kul'
388,Killybegs,IE,55.11,overcast clouds,54.6333,-8.45,Tara Hotel
391,Siderno,IT,65.34,clear sky,38.2779,16.302,Grand Hotel President
392,Lata,PT,71.92,clear sky,40.1629,-8.3327,Casa Maquia
393,Imbituba,BR,66.49,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
396,Golkoy,TR,62.01,overcast clouds,40.6875,37.6178,Golkoy Ogretmenevi
399,Turayf,SA,73.65,clear sky,31.6725,38.6637,Al Mudawah Hotel
401,Miraflores,MX,72.36,scattered clouds,19.2167,-98.8083,Hotel Mansión
403,Shangqiu,CN,69.53,few clouds,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
404,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
409,Bundaberg,AU,57.22,broken clouds,-24.85,152.35,Takalvan Motel
413,Lagoa,PT,70.29,light rain,39.05,-27.9833,Casa Das Faias
415,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
416,Nueva Guinea,NI,77.76,overcast clouds,11.6876,-84.4562,Posadita La Reyna
418,Vanimo,PG,76.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
419,Moose Factory,CA,51.8,clear sky,51.2585,-80.6094,Moosonee Lilypad
420,Rawson,AR,53.35,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
421,Balashov,RU,66.58,overcast clouds,51.5502,43.1667,Kozyr' Balashov
422,Thunder Bay,CA,58.98,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
423,Marmaris,TR,75.15,clear sky,36.855,28.2742,BLUE BAY PLATINUM HOTEL
424,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
429,Ustka,PL,51.66,few clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
430,Bonthe,SL,76.39,moderate rain,7.5264,-12.505,Bonthe Holiday Village
438,Littlehampton,GB,56.98,clear sky,50.8069,-0.5378,Bailiffscourt Hotel & Spa
439,Boa Vista,BR,76.98,shower rain,2.8197,-60.6733,Aipana Plaza Hotel
440,Kuching,MY,73.62,fog,1.55,110.3333,Hilton Kuching
441,Dongying,CN,70.34,broken clouds,37.4564,118.4856,Wanda Realm
442,Agen,FR,65.71,clear sky,44.2,0.6333,Appart'City Agen Centre - Appart Hôtel
444,Caravelas,BR,75.79,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
445,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
449,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
450,Wau,SS,76.96,broken clouds,7.7029,27.9953,Universal Gab Hotel
453,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
455,Bitung,ID,72.45,broken clouds,1.4451,125.1824,K2 Lembeh
456,Creel,MX,69.66,few clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
458,Igboho,NG,74.21,scattered clouds,8.8333,3.75,More Hotet LTD
460,Norrtalje,SE,53.02,overcast clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
462,Meulaboh,ID,75.96,overcast clouds,4.1363,96.1285,Kost Pria
465,Krasnoarmeysk,RU,63.16,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
466,Chilca,PE,63.55,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
469,Barbastro,ES,75.74,clear sky,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
470,Tullow,IE,55.26,overcast clouds,52.8003,-6.7369,Mount Wolseley Hotel Spa & Golf Resort
475,Clarence Town,AU,53.85,clear sky,-32.5833,151.7833,River Downs Cottage
477,Quang Ngai,VN,74.39,overcast clouds,15.1167,108.8,Central Hotel
482,Limoges,FR,61.36,overcast clouds,45.75,1.3333,La Gratade
483,Cairns,AU,71.55,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
484,Shu,KZ,49.57,few clouds,43.5983,73.7614,Shyngyzkhan
